,LOAN_NUMBER,LOAN_ORIG_DATE,LENDER_INST_TYPE_DESCRIPTION,LTV,FICO_SCORE,CURRENT_BALANCE,Loan_to_Value_Cohorts,FICO_Score_Category,LOAN_AGE,Loan_Age_Cohorts
0,19457569,2010-08-24,Bank Owned Mortgage Company - National,90.0,111,247050,>85% and <= 90%,<600,28.45232961662457,20-29 Months
1,16864087,2011-10-26,Bank Owned Mortgage Company - National,85.0,620,119000,<=85%,600 - 699,14.390439228731596,10-19 Months
2,17137579,2012-04-30,Mortgage Banker - Bank Owned,90.0,629,315000,>85% and <= 90%,600 - 699,8.246575905049385,0-9 Months
3,20382551,2012-07-18,Mortgage Banker - Bank Owned,95.0,636,303050,>90% and <= 95%,600 - 699,5.65104006242428,0-9 Months
4,23078618,2012-05-15,Mortgage Banker - (Large),84.5100021362305,638,120000,<=85%,600 - 699,7.7537526437914535,0-9 Months
5,29210456,2012-12-06,Credit Unions,90.0,638,130500,>85% and <= 90%,600 - 699,1.0185014065997249,0-9 Months
6,22740336,2012-07-02,Mortgage Banker - Bank Owned,94.9800033569336,638,291950,>90% and <= 95%,600 - 699,6.176718207766073,0-9 Months
7,25371753,2011-11-18,Bank Owned Mortgage Company - National,90.0,643,388800,>85% and <= 90%,600 - 699,13.634776894802767,10-19 Months
8,32825998,2012-08-16,Community Banks,90.0,645,265500,>85% and <= 90%,600 - 699,4.698248423992279,0-9 Months
9,17654733,2012-09-08,Credit Unions,95.0,647,194750,>90% and <= 95%,600 - 699,3.942586090063451,0-9 Months
10,26851834,2012-02-15,Community Banks,82.7099990844727,650,94700,<=85%,600 - 699,10.710692211339042,10-19 Months
11,27520805,2012-10-19,Mortgage Banker - Bank Owned,90.0,652,134100,>85% and <= 90%,600 - 699,2.595535842625105,0-9 Months
12,16992201,2012-06-25,Credit Unions,90.0,654,59400,>85% and <= 90%,600 - 699,6.406702396353108,0-9 Months
13,33532399,2012-04-02,Credit Unions,83.3300018310547,655,112500,<=85%,600 - 699,9.166512659397524,0-9 Months
14,23108273,2012-08-06,Credit Unions,94.0299987792969,655,315000,>90% and <= 95%,600 - 699,5.0267972648309,0-9 Months
15,27044888,2011-10-14,Mortgage Banker - Bank Owned,95.0,655,388835,>90% and <= 95%,600 - 699,14.78469783773794,10-19 Months
16,29901595,2012-03-13,Credit Unions,91.7900009155273,656,77100,>90% and <= 95%,600 - 699,9.823610341074765,0-9 Months
17,15742236,2011-10-13,Mortgage Banker - (Large),90.0,658,352800,>85% and <= 90%,600 - 699,14.817552721821803,10-19 Months
18,23636369,2011-09-08,Mortgage Banker - Bank Owned,90.0,660,297000,>85% and <= 90%,600 - 699,15.967473664756977,10-19 Months
19,33596151,2011-12-02,Credit Unions,91.3399963378906,661,306000,>90% and <= 95%,600 - 699,13.1748085176287,10-19 Months
20,15791748,2011-08-31,Mortgage Banker - (Large),89.1900024414063,663,99000,>85% and <= 90%,600 - 699,16.230312737427873,10-19 Months
21,33538134,2012-09-20,Mortgage Banker - Bank Owned,90.0,663,76500,>85% and <= 90%,600 - 699,3.5483274810571057,0-9 Months
22,20893302,2012-08-07,Mortgage Banker - Bank Owned,89.0800018310547,664,222700,>85% and <= 90%,600 - 699,4.993942380747038,0-9 Months
23,24013088,2009-06-10,Mortgage Banker - Bank Owned,90.0,664,294640,>85% and <= 90%,600 - 699,42.90847861352389,>=40 Months
24,20571815,2012-03-30,Mortgage Banker - Bank Owned,95.0,664,90924,>90% and <= 95%,600 - 699,9.26507731164911,0-9 Months
25,16995544,2012-06-21,Mortgage Banker - Bank Owned,90.0,665,188685,>85% and <= 90%,600 - 699,6.538121932688556,0-9 Months
